epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3085,1.74351,2.47147,1.28131,0.42509,0.61467,0.5141,0.26878,1.72793,4.15455,1.30199,0.0003,0.0003,0.0003
2,23.8731,1.64294,1.37696,1.21899,0.54987,0.43577,0.48432,0.2625,1.6916,2.03318,1.46422,0.000608458,0.000608458,0.000608458
3,35.8467,1.57718,1.24247,1.22146,0.25868,0.06603,0.03349,0.0156,3.22687,3.5002,2.33905,0.00091279,0.00091279,0.00091279
4,47.9294,1.60154,1.22461,1.2441,0.40097,0.38131,0.32734,0.12368,2.35313,3.90051,1.88019,0.001213,0.001213,0.001213
5,59.8848,1.63327,1.23001,1.28145,0.63071,0.59255,0.64879,0.31616,1.70934,2.13077,1.43347,0.001217,0.001217,0.001217
6,72.5042,1.54223,1.10634,1.21345,0.50325,0.57533,0.56381,0.30977,1.6538,4.1864,1.41072,0.00120875,0.00120875,0.00120875
7,84.4747,1.53247,1.03008,1.20021,0.67979,0.56961,0.61801,0.34877,1.53286,2.4607,1.29612,0.0012005,0.0012005,0.0012005
8,97.2164,1.49496,0.98731,1.1887,0.72173,0.63739,0.68483,0.36584,1.53183,1.89368,1.29019,0.00119225,0.00119225,0.00119225
9,109.917,1.48929,0.94184,1.20898,0.66004,0.51086,0.57788,0.28149,1.75727,2.01281,1.44765,0.001184,0.001184,0.001184
10,121.742,1.46706,0.97887,1.18763,0.66347,0.66163,0.71638,0.4192,1.47828,1.43316,1.23529,0.00117575,0.00117575,0.00117575
11,134.4,1.43451,0.91713,1.17136,0.75871,0.70805,0.76395,0.40812,1.49569,1.31365,1.26871,0.0011675,0.0011675,0.0011675
12,146.456,1.47134,0.9208,1.18493,0.61449,0.62418,0.64666,0.32645,1.50063,1.52883,1.27685,0.00115925,0.00115925,0.00115925
13,158.578,1.44183,0.89191,1.14845,0.72839,0.69536,0.71095,0.36507,1.53649,1.31526,1.32583,0.001151,0.001151,0.001151
14,170.596,1.3795,0.82991,1.13569,0.70398,0.65855,0.71154,0.40223,1.46459,0.9459,1.28167,0.00114275,0.00114275,0.00114275
15,182.642,1.36167,0.82852,1.14053,0.70477,0.67194,0.69605,0.37033,1.49877,1.07459,1.2884,0.0011345,0.0011345,0.0011345
16,194.676,1.33684,0.80833,1.11786,0.78396,0.66003,0.73223,0.40815,1.50053,0.98739,1.2842,0.00112625,0.00112625,0.00112625
17,206.774,1.34619,0.83026,1.11176,0.74126,0.72813,0.75597,0.41926,1.47905,0.94714,1.26632,0.001118,0.001118,0.001118
18,219.561,1.35605,0.80327,1.12637,0.70978,0.76064,0.80591,0.43005,1.43637,0.97861,1.2514,0.00110975,0.00110975,0.00110975
19,232.258,1.37144,0.83014,1.14008,0.85574,0.70984,0.8014,0.44652,1.40368,0.91107,1.25719,0.0011015,0.0011015,0.0011015
20,245.204,1.31504,0.78978,1.11276,0.76477,0.70452,0.74712,0.36975,1.58408,1.20093,1.3536,0.00109325,0.00109325,0.00109325
21,257.459,1.33752,0.80333,1.12938,0.68998,0.74987,0.76684,0.43423,1.44818,0.93225,1.26795,0.001085,0.001085,0.001085
22,269.388,1.29792,0.77147,1.103,0.76685,0.69879,0.78328,0.43283,1.54813,1.00702,1.32643,0.00107675,0.00107675,0.00107675
23,281.276,1.29476,0.76048,1.11201,0.83282,0.72877,0.79027,0.45803,1.43267,0.91991,1.25892,0.0010685,0.0010685,0.0010685
24,293.881,1.28022,0.75586,1.0923,0.72305,0.78098,0.7717,0.46355,1.39904,0.8955,1.23747,0.00106025,0.00106025,0.00106025
25,306.561,1.27742,0.76797,1.10336,0.78477,0.6565,0.75359,0.42147,1.4844,0.9214,1.27535,0.001052,0.001052,0.001052
26,318.364,1.26769,0.72436,1.08835,0.77447,0.7071,0.767,0.43411,1.43421,0.88492,1.26953,0.00104375,0.00104375,0.00104375
27,330.35,1.27055,0.72026,1.08576,0.73581,0.78546,0.78064,0.42873,1.42919,0.90963,1.25569,0.0010355,0.0010355,0.0010355
28,342.215,1.22763,0.69923,1.0753,0.72172,0.80677,0.79535,0.45827,1.40598,0.82443,1.24051,0.00102725,0.00102725,0.00102725
29,354.202,1.20578,0.67994,1.0556,0.66276,0.72393,0.74925,0.4288,1.42073,0.89412,1.25425,0.001019,0.001019,0.001019
30,366.182,1.20836,0.67274,1.05805,0.77337,0.65858,0.72582,0.40145,1.47878,0.95937,1.30411,0.00101075,0.00101075,0.00101075
31,378.054,1.19309,0.67032,1.05376,0.7473,0.74285,0.75015,0.41457,1.52876,0.85066,1.34031,0.0010025,0.0010025,0.0010025
32,389.956,1.18557,0.66591,1.05754,0.81595,0.71291,0.77478,0.44578,1.45726,0.92034,1.27937,0.00099425,0.00099425,0.00099425
33,401.888,1.18113,0.65102,1.0431,0.66417,0.76966,0.75822,0.43004,1.49762,0.92896,1.29049,0.000986,0.000986,0.000986
34,413.734,1.15834,0.64384,1.04625,0.72639,0.68268,0.7343,0.40987,1.51764,0.97465,1.31367,0.00097775,0.00097775,0.00097775
