epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2514,1.86413,2.74976,1.4178,0.23337,0.55691,0.26343,0.11677,1.78427,4.41642,1.42409,0.0003,0.0003,0.0003
2,24.8354,1.72008,1.55201,1.3294,0.23984,0.399,0.19145,0.05665,2.38918,23.0388,2.19069,0.000608458,0.000608458,0.000608458
3,36.8752,1.65695,1.42978,1.34465,0.22914,0.34819,0.20191,0.08722,2.14801,3.03361,2.11961,0.00091279,0.00091279,0.00091279
4,49.0269,1.68698,1.3633,1.4023,0.5388,0.35333,0.38094,0.18499,2.04916,2.3038,1.96543,0.001213,0.001213,0.001213
5,61.6806,1.70856,1.36086,1.40089,0.45568,0.3076,0.36201,0.1772,1.85154,3.07716,1.61543,0.001217,0.001217,0.001217
6,73.9103,1.64194,1.25633,1.35212,0.52282,0.34081,0.36082,0.17323,2.0341,5.19093,1.89676,0.00120875,0.00120875,0.00120875
7,85.6388,1.59442,1.12144,1.32548,0.78684,0.42479,0.61636,0.33084,1.71518,9.45229,1.64321,0.0012005,0.0012005,0.0012005
8,98.0278,1.61717,1.135,1.34367,0.82297,0.50718,0.6177,0.3312,1.55357,1.83853,1.46692,0.00119225,0.00119225,0.00119225
9,110.476,1.55682,1.06875,1.33011,0.72842,0.61959,0.68715,0.33884,1.63387,1.75242,1.53318,0.001184,0.001184,0.001184
10,122.779,1.50785,1.05133,1.28624,0.57052,0.59722,0.53566,0.27153,1.75331,4.35306,1.64244,0.00117575,0.00117575,0.00117575
11,134.511,1.49383,1.01125,1.27813,0.7657,0.71054,0.75075,0.38717,1.6294,1.25713,1.51362,0.0011675,0.0011675,0.0011675
12,147.143,1.46449,0.96845,1.2608,0.623,0.67035,0.66574,0.30663,1.71146,1.27449,1.53611,0.00115925,0.00115925,0.00115925
13,158.722,1.49061,0.93266,1.25272,0.7708,0.70133,0.75053,0.39202,1.51117,1.14486,1.38286,0.001151,0.001151,0.001151
14,171.205,1.43605,0.92456,1.22353,0.72445,0.73116,0.73933,0.4038,1.49323,1.10691,1.38346,0.00114275,0.00114275,0.00114275
15,183.505,1.43811,0.92671,1.25253,0.71042,0.66108,0.74136,0.38523,1.54603,1.07242,1.45277,0.0011345,0.0011345,0.0011345
16,195.307,1.4085,0.90702,1.23009,0.80066,0.62856,0.7196,0.37412,1.62495,1.10811,1.50778,0.00112625,0.00112625,0.00112625
17,207.086,1.40933,0.9107,1.21596,0.73755,0.63212,0.71333,0.36423,1.62699,1.31553,1.52558,0.001118,0.001118,0.001118
18,218.711,1.39747,0.87627,1.20847,0.72229,0.66782,0.71242,0.3888,1.5444,1.12455,1.4132,0.00110975,0.00110975,0.00110975
19,230.427,1.4229,0.89885,1.2266,0.72406,0.70695,0.69975,0.39897,1.47737,1.03223,1.36716,0.0011015,0.0011015,0.0011015
20,242.179,1.38904,0.8637,1.2059,0.77706,0.63846,0.71019,0.38065,1.60177,1.08249,1.48924,0.00109325,0.00109325,0.00109325
21,253.832,1.38411,0.87154,1.21847,0.64954,0.698,0.68945,0.37442,1.52401,1.07046,1.41411,0.001085,0.001085,0.001085
22,265.615,1.36725,0.83071,1.18564,0.75454,0.62531,0.71891,0.40233,1.4882,1.12417,1.3995,0.00107675,0.00107675,0.00107675
23,277.28,1.35847,0.82377,1.19481,0.76076,0.65974,0.74619,0.41037,1.52804,0.94598,1.40687,0.0010685,0.0010685,0.0010685
24,289.638,1.38419,0.82806,1.18734,0.79736,0.66026,0.74169,0.42464,1.49229,1.11711,1.43426,0.00106025,0.00106025,0.00106025
25,302.124,1.34964,0.85236,1.19283,0.6995,0.76115,0.76902,0.4155,1.49958,1.01997,1.42727,0.001052,0.001052,0.001052
26,313.754,1.3221,0.80446,1.17625,0.76218,0.77428,0.80536,0.44601,1.50182,0.98309,1.39804,0.00104375,0.00104375,0.00104375
27,326.226,1.313,0.7658,1.16163,0.79972,0.65344,0.76992,0.44493,1.41441,0.97757,1.34699,0.0010355,0.0010355,0.0010355
28,337.918,1.29694,0.75681,1.15136,0.69948,0.76581,0.76481,0.45435,1.40007,0.88511,1.30248,0.00102725,0.00102725,0.00102725
29,350.328,1.27785,0.74878,1.13191,0.67492,0.83796,0.80679,0.47425,1.40108,0.84204,1.30898,0.001019,0.001019,0.001019
30,362.641,1.24465,0.7299,1.13041,0.75598,0.79673,0.80258,0.44805,1.45411,0.89705,1.35338,0.00101075,0.00101075,0.00101075
31,374.773,1.26589,0.74124,1.13297,0.853,0.62845,0.78912,0.43954,1.46886,0.97298,1.38767,0.0010025,0.0010025,0.0010025
32,386.674,1.26103,0.72516,1.14497,0.71409,0.78224,0.7889,0.42015,1.57158,0.98768,1.4572,0.00099425,0.00099425,0.00099425
33,398.464,1.25147,0.72155,1.13622,0.75304,0.68699,0.74935,0.40847,1.4998,0.9927,1.41371,0.000986,0.000986,0.000986
34,410.251,1.22383,0.71544,1.13446,0.79841,0.65914,0.77145,0.43295,1.48845,0.91286,1.39807,0.00097775,0.00097775,0.00097775
35,422.509,1.21901,0.71607,1.1178,0.67472,0.69325,0.75249,0.44739,1.43866,0.9634,1.36633,0.0009695,0.0009695,0.0009695
36,434.569,1.22953,0.7176,1.12814,0.67024,0.79468,0.76564,0.4551,1.49919,0.85716,1.42066,0.00096125,0.00096125,0.00096125
37,446.556,1.21648,0.69844,1.11648,0.68882,0.79919,0.77907,0.45404,1.44886,0.879,1.38725,0.000953,0.000953,0.000953
38,458.505,1.20443,0.70103,1.10733,0.68047,0.7601,0.74021,0.42046,1.44871,0.93417,1.3749,0.00094475,0.00094475,0.00094475
39,470.516,1.19634,0.68677,1.12006,0.83278,0.70308,0.79649,0.46775,1.43573,0.90166,1.3622,0.0009365,0.0009365,0.0009365
