epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4806,1.82041,2.56107,1.36677,0.57084,0.33957,0.43623,0.2186,1.8817,4.16878,1.4473,0.0004,0.0004,0.0004
2,44.248,1.6605,1.46502,1.28254,0.35938,0.23618,0.22057,0.0801,2.07611,4.62385,1.59183,0.000811696,0.000811696,0.000811696
3,57.8567,1.71551,1.41317,1.30579,0.52214,0.48335,0.46107,0.22256,1.87277,2.30849,1.52706,0.00122257,0.00122257,0.00122257
4,72.0625,1.707,1.34608,1.30365,0.39401,0.63168,0.49839,0.2343,1.74086,3.10877,1.42616,0.00124629,0.00124629,0.00124629
5,86.3698,1.62243,1.23636,1.26551,0.41339,0.61611,0.55007,0.2746,1.93024,2.87469,1.60926,0.00124505,0.00124505,0.00124505
6,100.744,1.58556,1.11188,1.26315,0.78431,0.50427,0.64886,0.36072,1.63628,1.61,1.33777,0.00124381,0.00124381,0.00124381
7,115.245,1.61322,1.1347,1.25529,0.63045,0.67004,0.67316,0.34513,1.77237,2.00093,1.39893,0.00124257,0.00124257,0.00124257
8,129.416,1.54101,1.09954,1.24798,0.61839,0.51277,0.62694,0.33957,1.54986,2.33823,1.26937,0.00124134,0.00124134,0.00124134
9,143.103,1.58377,1.08073,1.24268,0.73676,0.70528,0.75494,0.40574,1.57748,1.42138,1.2619,0.0012401,0.0012401,0.0012401
10,157.644,1.47502,0.99316,1.19495,0.67765,0.76897,0.77156,0.44637,1.51238,1.30531,1.25069,0.00123886,0.00123886,0.00123886
11,172.239,1.44775,0.97516,1.1824,0.78957,0.70519,0.78375,0.47868,1.52149,1.2247,1.23628,0.00123763,0.00123763,0.00123763
12,186.629,1.48386,1.00052,1.22335,0.72755,0.73102,0.76616,0.45891,1.46847,1.15096,1.20127,0.00123639,0.00123639,0.00123639
13,200.377,1.41373,0.92813,1.1791,0.75812,0.6952,0.76649,0.4699,1.44845,1.17803,1.20906,0.00123515,0.00123515,0.00123515
14,214.205,1.43222,0.93675,1.19229,0.6546,0.66414,0.69427,0.38708,1.56086,2.27082,1.30162,0.00123391,0.00123391,0.00123391
15,228.062,1.43127,0.93702,1.17384,0.77635,0.76289,0.81998,0.49261,1.48114,1.09112,1.20855,0.00123268,0.00123268,0.00123268
16,242.433,1.41944,0.9027,1.18692,0.67249,0.71956,0.73752,0.41418,1.70207,1.29742,1.31382,0.00123144,0.00123144,0.00123144
17,256.471,1.40711,0.88773,1.19403,0.71695,0.78289,0.79953,0.47916,1.52119,1.14824,1.25117,0.0012302,0.0012302,0.0012302
18,270.065,1.36934,0.86166,1.17314,0.76973,0.71724,0.80452,0.49026,1.3936,1.05217,1.19071,0.00122896,0.00122896,0.00122896
19,283.659,1.38367,0.8509,1.16661,0.7735,0.77002,0.80298,0.47702,1.41201,1.10037,1.21082,0.00122773,0.00122773,0.00122773
20,297.568,1.36418,0.86288,1.14177,0.72824,0.7567,0.78057,0.47888,1.43292,1.09199,1.20037,0.00122649,0.00122649,0.00122649
21,311.396,1.35495,0.85501,1.14018,0.74949,0.75925,0.77202,0.4397,1.45745,1.16443,1.24016,0.00122525,0.00122525,0.00122525
22,325.15,1.31992,0.83095,1.14566,0.73549,0.76089,0.79168,0.48574,1.47785,1.08249,1.23996,0.00122401,0.00122401,0.00122401
23,339.007,1.32405,0.83238,1.16041,0.77489,0.79351,0.82381,0.51922,1.42272,1.02873,1.19911,0.00122277,0.00122277,0.00122277
24,353.221,1.32267,0.80841,1.13627,0.69315,0.79027,0.79265,0.48904,1.4449,0.99791,1.19447,0.00122154,0.00122154,0.00122154
25,366.737,1.3047,0.80659,1.1197,0.79367,0.78187,0.82591,0.52322,1.38508,1.02168,1.16871,0.0012203,0.0012203,0.0012203
26,380.929,1.29368,0.79569,1.11147,0.8527,0.74852,0.818,0.51747,1.41086,1.03697,1.17835,0.00121906,0.00121906,0.00121906
27,394.616,1.28807,0.7638,1.103,0.76005,0.75179,0.78648,0.46971,1.50792,1.09603,1.23551,0.00121783,0.00121783,0.00121783
28,408.26,1.2777,0.78134,1.09906,0.67721,0.79151,0.79617,0.46405,1.54199,1.06994,1.25944,0.00121659,0.00121659,0.00121659
29,421.946,1.25737,0.79087,1.12125,0.81657,0.79706,0.8442,0.48129,1.43475,1.00162,1.21549,0.00121535,0.00121535,0.00121535
30,435.681,1.31007,0.79868,1.11326,0.78702,0.81108,0.80427,0.49528,1.42364,0.96587,1.20933,0.00121411,0.00121411,0.00121411
31,449.379,1.26012,0.76652,1.09988,0.83738,0.76716,0.83297,0.5035,1.403,1.02233,1.19362,0.00121287,0.00121287,0.00121287
32,463.075,1.22408,0.73844,1.07521,0.74941,0.79118,0.81159,0.49553,1.42934,0.94816,1.1982,0.00121164,0.00121164,0.00121164
33,476.682,1.24609,0.73736,1.07738,0.74187,0.76487,0.77484,0.4586,1.44938,1.07304,1.23555,0.0012104,0.0012104,0.0012104
34,490.457,1.2309,0.73924,1.08766,0.72984,0.7618,0.76509,0.45297,1.53144,1.08439,1.24605,0.00120916,0.00120916,0.00120916
35,504.174,1.24796,0.73289,1.10111,0.68992,0.76594,0.78338,0.46757,1.41936,1.08894,1.22465,0.00120793,0.00120793,0.00120793
36,518.174,1.20619,0.7315,1.07786,0.7492,0.77939,0.81705,0.50469,1.37546,1.04315,1.17625,0.00120669,0.00120669,0.00120669
37,531.936,1.22034,0.71865,1.0891,0.75745,0.76953,0.81834,0.4902,1.46661,1.01315,1.21748,0.00120545,0.00120545,0.00120545
38,545.687,1.17565,0.69744,1.06964,0.71795,0.74556,0.74599,0.45377,1.45715,1.0592,1.20391,0.00120421,0.00120421,0.00120421
39,559.382,1.19414,0.69359,1.07993,0.72087,0.79843,0.79759,0.48927,1.48361,0.99997,1.20183,0.00120298,0.00120298,0.00120298
